"","GENE_SYMBOL","p_value","odds_ratio","p_value_adj"
"263","ADM",1,1.31381951940108,1
"264","ADNP",1,0,1
"265","ADO",0.500564971751412,0,1
"266","ADORA1",0.433333333333333,Inf,1
"267","ADORA2A",1,0,1
"268","ADORA2A-AS1",0.433333333333333,Inf,1
"269","ADORA2B",1,1.31381951940108,1
"270","ADPGK",0.500564971751412,0,1
"271","ADRA1B",0.433333333333333,Inf,1
"272","ADRA1D",0.433333333333333,Inf,1
"273","ADRA2A",1,0,1
"274","ADRA2B",1,0,1
"275","ADRA2C",0.0777919645897174,Inf,1
"276","ADRB1",1,0,1
"277","ADRB2",0.433333333333333,Inf,1
"278","ADSL",1,0,1
"279","ADSS1",0.0363679382830835,0,1
"280","AEBP1",1,0,1
"281","AEBP2",0.433333333333333,Inf,1
"282","AFAP1",1,1.31381951940108,1
"283","AFAP1-AS1",1,0,1
"284","AFAP1L1",1,0,1
"285","AFAP1L2",1,0,1
"286","AFDN",1,0.647765169260659,1
"287","AFDN-DT",0.311276854463273,1.27614896799572,1
"288","AFF1",1,0,1
"289","AFF2",0.433333333333333,Inf,1
"290","AFF3",0.255056179775281,0,1
"291","AFF4",1,0,1
"292","AFG1L",0.433333333333333,Inf,1
"293","AFG3L2",0.18361581920904,Inf,1
"294","AFMID",0.433333333333333,Inf,1
"295","AFTPH",0.573758036236119,2.70412427824264,1
"296","AGA",1,0,1
"297","AGAP1",0.500564971751412,0,1
"298","AGAP10P",0.748206451463809,1.32663018804121,1
"299","AGAP11",0.754915717418516,0.728088720346189,1
"300","AGAP12P",0.132095776163573,0,1
"301","AGAP13P",0.500564971751412,0,1
"302","AGAP14P",0.468771660889573,1.77793998505734,1
"303","AGAP2",0.0672511606427553,2.74831533899403,1
"304","AGAP3",0.475066725775215,0.670192097569301,1
"305","AGAP4",0.36902415226644,1.54969717246084,1
"306","AGAP5",0.126441908394598,0.191062504065022,1
"307","AGAP6",0.46670763631069,0.420219978305617,1
"308","AGAP7P",1,1.31381951940108,1
"309","AGAP9",0.749182744287626,1.32376772809956,1
"310","AGBL1",0.57673646578141,2.67317690398778,1
"311","AGBL3",0.433333333333333,Inf,1
"312","AGBL4",0.433333333333333,Inf,1
"313","AGBL5",1,1.31381951940108,1
"314","AGFG1",1,0,1
"315","AGK",1,0,1
"316","AGO1",1,0,1
"317","AGO4",1,0,1
"318","AGPAT1",1,1.31381951940108,1
"319","AGPAT4-IT1",1,0,1
"320","AGPS",0.500564971751412,0,1
"321","AGRN",0.761409175203024,0.739117088606684,1
"322","AGTR1",1,0,1
"323","AHCTF1",1,0.647765169260659,1
"324","AHDC1",0.38914945626355,0.318510228240838,1
"325","AHNAK",0.0461655757752642,0.137827117674032,1
"326","AHNAK2",0.079356815008741,0.613477869949107,1
"327","AHRR",1,0,1
"328","AHSA2P",0.433333333333333,Inf,1
"329","AHSG",1,0,1
"330","AHSP",1,0,1
"331","AIF1L",0.18361581920904,Inf,1
"332","AIFM3",1,0,1
"333","AIG1",0.433333333333333,Inf,1
"334","AIMP1",0.433333333333333,Inf,1
"335","AIP",1,0,1
"336","AIRE",1,0.777073837792088,1
"337","AJAP1",1,1.10507258741594,1
"338","AJUBA",1,1.31381951940108,1
"339","AK2",0.649474381035483,1.33952851613781,1
"340","AK5",0.63228410008071,0.427597555272113,1
"341","AK7",0.255056179775281,0,1
"342","AK8",1,0,1
"343","AK9",0.315039009954264,4.0561599044175,1
"344","AKAIN1",0.433333333333333,Inf,1
"345","AKAP1",0.500564971751412,0,1
"346","AKAP12",0.38914945626355,0.318510228240838,1
"347","AKAP13",0.236120848844257,0.2535440390159,1
"348","AKAP14",1,0,1
"349","AKAP17A",1,1.31381951940108,1
"350","AKAP3",0.433333333333333,Inf,1
"351","AKAP5",0.255056179775281,0,1
"352","AKAP6",0.38914945626355,0.318510228240838,1
"353","AKAP8L",1,0,1
"354","AKAP9",0.57673646578141,2.67317690398778,1
"355","AKNA",1,0.647765169260659,1
"356","AKNAD1",1,1.31381951940108,1
"357","AKR1B1P6",1,0,1
"358","AKR1C2",0.710618074421436,1.5475684365772,1
"359","AKR1C8",1,1.31381951940108,1
"360","AKR1E2",1,0.647765169260659,1
"361","AKR7A3",1,1.04840281710727,1
"362","AKR7L",1,0,1
"363","AKT1",0.290717888945764,2.28881295889241,1
"364","AKT2",1,0.867700776021095,1
"365","AKT3",1,0,1
"366","AKTIP",1,0,1
"367","ALAD",0.433333333333333,Inf,1
"368","ALAS1",0.433333333333333,Inf,1
"369","ALAS2",0.433333333333333,Inf,1
"370","ALCAM",0.500564971751412,0,1
"371","ALDH16A1",1,1.31381951940108,1
"372","ALDH1A2",0.433333333333333,Inf,1
"373","ALDH1B1",0.433333333333333,Inf,1
"374","ALDH1L1",1,1.31381951940108,1
"375","ALDH1L2",0.255056179775281,0,1
"376","ALDH2",1,1.31381951940108,1
"377","ALDH3B1",0.626103540557999,0.418932577789878,1
"378","ALDH6A1",1,0,1
"379","ALDH7A1",0.433333333333333,Inf,1
"380","ALDH9A1",1,0,1
"381","ALDOC",1,0,1
"382","ALG1",1,1.31381951940108,1
"383","ALG10",0.491954022988506,0,1
"384","ALG10B",1,0,1
"385","ALG11",1,0,1
"386","ALG12",0.457881680184043,0.409177240966355,1
"387","ALG13",1,0,1
"388","ALG1L8P",1,1.32043730154981,1
"389","ALG3",0.500564971751412,0,1
"390","ALG8",1,1.31381951940108,1
"391","ALK",1,0.868549742946098,1
"392","ALKBH2",1,0,1
"393","ALKBH5",1,0,1
"394","ALLC",1,0.647765169260659,1
"395","ALMS1",0.500564971751412,0,1
"396","ALMS1P1",0.433333333333333,Inf,1
"397","ALOX12",0.57673646578141,2.67317690398778,1
"398","ALOX15",0.433333333333333,Inf,1
"399","ALOX5AP",0.433333333333333,Inf,1
"400","ALOXE3",1,0,1
"401","ALPG",0.315039009954264,4.0561599044175,1
"402","ALPI",0.57673646578141,2.67317690398778,1
"403","ALPK1",0.405322059786785,2.68789027334791,1
"404","ALPK2",1,1.31689955794201,1
"405","ALPK3",0.315039009954264,4.0561599044175,1
"406","ALPL",0.433333333333333,Inf,1
"407","ALPP",0.196059113300493,4.76458882992239,1
"408","ALS2CL",1,1.31381951940108,1
"409","ALX4",0.433333333333333,Inf,1
"410","ALYREF",1,0,1
"411","AMACR",0.652735649793662,1.99868115647313,1
"412","AMBN",0.433333333333333,Inf,1
"413","AMDHD1",0.500564971751412,0,1
"414","AMDHD2",0.433333333333333,Inf,1
"415","AMER1",0.522660135196731,0.551094318245911,1
"416","AMER2",1,1.31381951940108,1
"417","AMFR",0.500564971751412,0,1
"418","AMH",1,0.8531076335464,1
"419","AMHR2",1,1.31381951940108,1
"420","AMIGO3",1,0,1
"421","AMMECR1",0.564532019704434,2.80646429221781,1
"422","AMN1",0.433333333333333,Inf,1
"423","AMOT",0.250847457627119,0,1
"424","AMOTL1",1,0.930533601107356,1
"425","AMOTL2",0.433333333333333,Inf,1
"426","AMPD1",1,1.31381951940108,1
"427","AMPD2",0.132095776163573,0,1
"428","AMPH",0.255056179775281,0,1
"429","AMY2B",0.18361581920904,Inf,1
"430","AMZ1",0.18361581920904,Inf,1
"431","ANAPC1",0.221993225807554,3.72488559277396,1
"432","ANAPC15",1,0,1
"433","ANAPC1P1",1,0,1
"434","ANAPC1P6",0.433333333333333,Inf,1
"435","ANAPC2",1,0.868549742946098,1
"436","ANGEL1",1,0,1
"437","ANGPT2",0.433333333333333,Inf,1
"438","ANGPTL4",1,1.31381951940108,1
"439","ANGPTL6",1,0,1
"440","ANGPTL8",1,0.647765169260659,1
"441","ANHX",1,1.31381951940108,1
"442","ANK1",1,0.868549742946098,1
"443","ANK2",0.38914945626355,0.318510228240838,1
"444","ANK3",0.500564971751412,0,1
"445","ANKAR",1,1.31381951940108,1
"446","ANKDD1A",1,0.647765169260659,1
"447","ANKDD1B",0.57673646578141,2.67317690398778,1
"448","ANKEF1",1,0,1
"449","ANKFN1",0.18361581920904,Inf,1
"450","ANKFY1",1,1.31689955794201,1
"451","ANKHD1",1,0,1
"452","ANKIB1",1,1.31381951940108,1
"453","ANKK1",1,0.868549742946098,1
"454","ANKLE1",0.255056179775281,0,1
"455","ANKLE2",0.234604557243596,0.251917551838075,1
"456","ANKMY1",1,1.31381951940108,1
"457","ANKRD10",1,0,1
"458","ANKRD11",0.105701357058997,0.344939978972731,1
"459","ANKRD11P2",1,0,1
"460","ANKRD13B",1,0,1
"461","ANKRD13C",1,1.31381951940108,1
"462","ANKRD13D",1,1.31381951940108,1
"463","ANKRD16",1,0.647765169260659,1
"464","ANKRD17",1,1.31381951940108,1
"465","ANKRD18A",1,1.31381951940108,1
"466","ANKRD18B",1,1.31381951940108,1
"467","ANKRD20A17P",0.487832887635802,1.38635719950403,1
"468","ANKRD20A21P",0.708425787106447,1.55136492349298,1
"469","ANKRD20A4P",0.267154038440121,1.30423865419952,1
"470","ANKRD20A5P",1,1.00538326902547,1
"471","ANKRD20A7P",0.573758036236119,2.70412427824264,1
"472","ANKRD20A8P",1,1.02478063611086,1
"473","ANKRD24",0.469810231408819,1.77281045664939,1
"474","ANKRD26",1,1.31381951940108,1
"475","ANKRD26P1",0.433333333333333,Inf,1
"476","ANKRD27",1,1.31381951940108,1
"477","ANKRD28",1,0,1
"478","ANKRD30A",0.0364411508152607,1.63134217807449,1
"479","ANKRD30B",0.0199097125734725,3.59136826591596,1
"480","ANKRD30BP1",1,0.979393592905241,1
"481","ANKRD31",0.433333333333333,Inf,1
"482","ANKRD33",0.0191494443088284,0,1
"483","ANKRD34A",1,0,1
"484","ANKRD34C",0.500564971751412,0,1
"485","ANKRD36",0.658353048399143,1.07129949660235,1
"486","ANKRD36B",0.285750397814319,0.695021805065305,1
